Voici un tableau de référence des termes et expressions associées au 6502 :
Terme 							Description
Baud rate generator 			Cette expression permet d'indiquer un périphérique générant les intervalles de temps appropriés entre les bits pour la transmission de données série.
BCD 							Cette abréviation, provenant de l'anglicisme Binary-Coded Decimal, permet d'indiquer une représentation de nombres décimaux dans laquelle chaque chiffre décimal est codé séparément en un nombre binaire.
Bidirectional 					Ce mot permet d'indiquer une capacité de transporter des signaux dans les deux sens.
Binary-coded decimal 			Cette expression permet d'indiquer une représentation de nombres décimaux dans laquelle chaque chiffre décimal est codé séparément en un nombre binaire. Synonyme de BCD.
Binary search 					Cette expression permet d'indiquer une recherche dans laquelle l'ensemble des éléments à rechercher est divisé en deux parties égales (ou presque égales) à chaque itération. La partie contenant l'élément recherché est ensuite déterminée et utilisée comme ensemble dans l'itération suivante. Une recherche binaire divise ainsi par deux la taille de l'ensemble recherché à chaque itération. Cette méthode suppose évidemment que l'ensemble des éléments est ordonné.
Bit test 						Cette expression permet d'indiquer une opération déterminant si un bit est 0 ou 1. Fait généralement référence à une opération ET logique avec un masque approprié.
Block 							Ce mot permet d'indiquer un groupe ou une section entière, comme un ensemble de registres ou une section de mémoire.
Block comparison 				Cette expression permet d'indiquer une recherche s'étendant à travers un bloc de mémoire jusqu'à ce que l'élément recherché soit trouvé ou que le bloc entier soit examiné.
Block move 						Cette expression permet d'indiquer une déplacement d'un ensemble complet de données d'une zone de mémoire à une autre.
Boolean variable 				Cette expression permet d'indiquer une variable n'ayant que deux valeurs possibles, pouvant être représentées comme vrai et faux ou comme 1 et 0. Voir aussi drapeau ou Flags en anglais.
Borrow 							Ce mot permet d'indiquer qu'un bit est mis à 1 si une soustraction produit un résultat négatif et à s'il produit un résultat positif ou nul. La retenue est couramment utilisé pour soustraire des nombres trop longs pour être traités en une seule opération.
Bounce 							Ce mot permet d'indiquer l'action d'aller et venir entre les états avant d'atteindre un état final.
Branch instruction 				Cette expression permet d'indiquer une instruction plaçant une nouvelle valeur dans le compteur de programme, s'écartant ainsi de l'incrémentation normale en une étape. Les instructions de saut peuvent être conditionnelles; autrement dit, la nouvelle valeur ne peut être placée dans le compteur de programme que si une condition est satisfaite.
Break instruction 				Cette expression permet d'indiquer une instruction forçant un saut vers une adresse spécifique (dépendante du processeur), souvent utilisée pour produire des points d'arrêt ou pour indiquer des erreurs matérielles ou logicielles.
Breakpoint 						Ce mot permet d'indiquer une condition spécifiée par l'utilisateur dans laquelle l'exécution du programme doit se terminer temporairement. Les points d'arrêt sont utilisés comme une aide au débogage. La spécification des conditions dans lesquelles l'exécution se terminera est appelée définition des points d'arrêt et la désactivation de ces conditions est appelée suppression des points d'arrêt.
BSC 							Cette abréviation, provenant de l'anglicisme Binary Synchronous Communications, permet d'indiquer un protocole de ligne plus ancien souvent utilisé par les ordinateurs et terminaux de l'entreprise IBM.
Bubble sort 					Cette expression permet d'indiquer une technique de tri passant par un tableau échangeant chaque paire d'éléments en désordre.
Buffer 							Ce mot permet d'indiquer une zone d'entreposage temporaire généralement utilisée pour contenir les données avant leur transfert vers leur destination finale.
Buffer empty 					Cette expression permet d'indiquer un signal étant actif lorsque des données entrées dans un tampon ou un registre ont été transférées vers sa destination finale.
Buffer full 					Cette expression permet d'indiquer un signal étant actif lorsqu'un tampon ou un registre est complètement occupé par des données n'ayant pas été transférées vers sa destination finale.
Buffer index 					Cette expression permet d'indiquer l'index de la prochaine adresse disponible dans un tampon.
Buffer pointer 					Cette expression permet d'indiquer un emplacement d'entreposage contenant la prochaine adresse disponible dans une mémoire tampon.
Bug 							Ce mot permet d'indiquer une erreur ou un défaut de fabrication.
Byte 							Ce mot permet d'indiquer une unité de 8 bits. Peut être décrit comme consistant en un quartet ou chiffre élevé (les quatre bits les plus significatifs) et un quartet ou chiffre bas (les quatre bits les moins significatifs).
Byte-length 					Cette expression permet d'indiquer une longueur de 8 bits par élément.
Cal 							Ce mot permet d'indiquer l'action de transférer le contrôle au sous-programme tout en conservant les informations nécessaires pour reprendre le programme en cours. Un appel diffère d'un saut ou d'une branche en ce qu'un appel conserve des informations concernant son origine, contrairement à un saut ou une branche.
Carry 							Ce mot permet d'indiquer un bit valant 1 si une addition déborde dans la position du chiffre suivant. Synonyme de retenue.
Carry flag 						Cette expression permet d'indiquer un drapeau valant 1 si la dernière opération a généré une retenue à partir du bit le plus significatif et si ce n'est pas le cas. Synonyme de drapeau de retenue.
CASE statement 					Cette expression permet d'indiquer une instruction dans un langage informatique de haut niveau demandant à l'ordinateur d'exécuter l'un des sous-programmes, en fonction de la valeur d'une variable. Autrement dit, l'ordinateur exécute le premier sous-programme si la variable a la première valeur spécifiée,... L'instruction GO TO calculée remplit une fonction similaire dans le langage de programmation FORTRAN.
Central processing unit 		Cette expression permet d'indiquer la section de contrôle de l'ordinateur contrôlant ses opérations, récupérant et exécutant des instructions et exécutant des fonctions arithmétiques et logiques. Synonyme de CPU ou microprocesseur.
Checksum 						Ce mot permet d'indiquer la somme logique incluse dans un bloc de données pour se prémunir contre les erreurs d'enregistrement ou de transmission. Également appelé parité longitudinale ou contrôle de redondance longitudinale (LRC).
Circular shift 					Cette expression permet d'indiquer une rotation de bits.
Cleaning the stack 				Cette expression permet d'indiquer une suppression des éléments indésirables de la pile, généralement en ajustant le pointeur de pile.
Clear 							Ce mot permet d'indiquer l'action de mettre à zéro ou de fixer une valeur sur 0.
Clock 							Ce mot permet d'indiquer un signal de synchronisation régulier régissant les transitions dans un système.
Close 							Ce mot permet d'indiquer l'action de rendre un fichier inactif. Le contenu final du fichier est la dernière information entreposée par l'utilisateur. L'utilisateur doit généralement fermer un fichier après avoir travaillé avec lui.
Coding 							Ce mot permet d'indiquer une rédaction d'instructions dans un langage informatique.
Combo chip 						Cette expression permet d'indiquer une périphérique exécutant plus d'une fonction dans un système informatique; le terme fait généralement référence aux périphériques contenant de la mémoire, des ports d'entrée/sortie, des minuteries,..., tels que les périphériques 6530, 6531 et 6532.
Command register 				Cette expression permet d'indiquer un registre dont le contenu détermine l'état d'un transfert ou le mode de fonctionnement d'un périphérique. Synonyme de Control register.
Comment 						Ce mot permet d'indiquer une section d'un programme n'ayant aucune fonction autre que la documentation. Les commentaires ne sont ni converties ni exécutés, mais simplement copiés dans la liste des programmes.
Complement 						Ce mot permet d'indiquer l'opération d'inverser; voir aussi son complément, complément à deux.
Concatenation 					Ce mot permet d'indiquer l'action de relier, enchaîner ou s'unir en une série. Dans les opérations de chaîne de caractères, placement d'une chaîne de caractères après l'autre.
Condition code 					Cette expression permet d'indiquer une condition appliqué en fonction d'un drapeau.
Control register 				Cette expression permet d'indiquer un registre dont le contenu détermine l'état d'un transfert ou le mode de fonctionnement d'un périphérique.
Control signal 					Cette expression permet d'indiquer un signal dirigeant un transfert d'entrée/sortie ou change le mode de fonctionnement d'un périphérique.
Cyclic redundancy check 		Cette expression permet d'indiquer un code de détection d'erreur généré à partir d'un polynôme pouvant être ajouté à un bloc de données ou à une zone d'entreposage. Synonyme de CRC.
Data accepted 					Cette expression permet d'indiquer un signal étant actif lorsque les données les plus récentes ont été transférées avec succès.
Data direction register 		Cette expression permet d'indiquer un registre déterminant si des lignes d'entrée/sortie bidirectionnelles sont utilisées comme entrées ou sorties. Abrégé en DDR dans certains diagrammes.
Data-link control 				Cette expression permet d'indiquer un ensemble de conventions régissant le format et le calendrier des échanges de données entre les systèmes de communication. Aussi appelé protocole.
Data ready 						Cette expression permet d'indiquer un signal étant actif lorsque de nouvelles données sont disponibles pour le récepteur. Identique aux données valides.
Data register 					Cette expression permet d'indiquer, dans un PIA ou VIA, le port d'entrée/sortie actuel. Aussi appelé registre de sortie ou registre périphérique.
DDCMP 							Cette abréviation, provenant de l'anglicisme Digital Data Communications Message Protocol, permet d'indiquer un protocole largement utilisé prenant en charge toute méthode de transfert physique de données (synchronisé ou désynchronisé, série ou parallèle).
Debounce 						Ce mot permet d'indiquer l'action de convertir la sortie d'un contact avec rebond en une transition unique et propre entre les états. L'anti-rebond est le plus souvent appliqué aux sorties des touches mécaniques ou des interrupteurs rebondissant avant de s'installer dans leurs positions finales.
Debounce time 					Cette expression permet d'indiquer le temps nécessaire pour annuler un changement d'état.
Debugger 						Ce mot permet d'indiquer un programme aidant à localiser et à corriger les erreurs dans un programme utilisateur. Certaines versions sont appelées outils de débogage dynamique ou DDT.
Debugging 						Ce mot permet d'indiquer un processus de localisation et de correction des erreurs dans un programme.
Device address 					Cette expression permet d'indiquer l'adresse d'un port associé à un périphérique d'entrée ou de sortie.
Diagnostic 						Ce mot permet d'indiquer un programme vérifiant le fonctionnement d'un périphérique et rapporte ses résultats.
Digit shift 					Cette expression permet d'indiquer un décalage d'une position de chiffre BCD ou de 4 positions de bits.
Direct addressing 				Cette expression permet d'indiquer un mode d'adressage dans lequel l'instruction contient l'adresse nécessaire à son exécution. Le microprocesseur 6502 dispose de deux types d'adressage direct : l'adressage de page zéro (ne nécessitant qu'une adresse 8 bits à la page 0) et l'adressage absolu (nécessitant une adresse 16 bits complète dans deux octets de mémoire).
Disarm 							Ce mot permet d'indiquer l'action de désactiver, mais le plus souvent appliqué aux interruptions.
Disable 						Ce mot permet d'indiquer l'action d'interdire à une activité de se poursuivre ou à un signal (comme une interruption) d'être reconnu.
Double word 					Cette expression permet d'indiquer une unité de 32 bits.
Driver 							Ce mot permet d'indiquer un pilote d'entrée/sortie.
Dump 							Ce mot permet d'indiquer une fonction affichant le contenu d'une section entière de mémoire ou d'un groupe de registres sur un périphérique de sortie.
Dynamic allocation 				Cette expression permet d'indiquer l'allocation de mémoire pour un sous-programme à partir de ce qui est disponible lorsque le sous-programme est appelé. Cette expression s'oppose à l'attribution statique d'une zone d'entreposage fixe à chaque sous-programme. L'allocation dynamique réduit souvent l'utilisation de la mémoire car les sous-programmes peuvent partager des zones; cependant, cela nécessite généralement un temps d'exécution supplémentaire et une surcharge de gestion de la mémoire.
EBCDIC 							Cette abréviation, provenant de l'anglicisme Expanded Binary-Coded Decimal Interchange Code, permet d'indiquer un code de caractères de 8 bits souvent utilisé dans les gros ordinateurs.
Echo 							Ce mot permet d'indiquer la réflexion des informations transmises vers l'émetteur; renvoie à un terminal les informations reçues de celui-ci.
Editor 							Ce mot permet d'indiquer un programme manipulant le matériel textuel et permet à l'utilisateur d'apporter des corrections, des ajouts, des suppressions et d'autres modifications.
Effective address 				Cette expression permet d'indiquer l'adresse actuel utilisée par une instruction pour récupérer ou entreposer des données.
EIA RS-232 						Cette expression permet d'indiquer une interface standard pour la transmission de données numériques en série, parrainée par l'Electronic Industries Association of Washington, D.C. Elle a été partiellement remplacée par RS-449.
Enable 							Ce mot permet à une activité de se poursuivre ou à un signal (tel qu'une interruption) d'être reconnu.
Endless loop 					Cette expression permet d'indiquer une instruction transférant le contrôle à elle-même, s'exécutant ainsi indéfiniment (ou jusqu'à ce qu'un signal matériel l'interrompe).
Error-correcting code 			Cette expression permet d'indiquer un code que le destinataire peut utiliser pour corriger les erreurs dans les messages; le code lui-même ne contient aucun message supplémentaire.
Error-detecting code 			Cette expression permet d'indiquer un code que le destinataire peut utiliser pour détecter les erreurs dans les messages; le code lui-même ne contient aucun message supplémentaire.
Even parity 					Cette expression permet d'indiquer un code de détection d'erreur de 1 bit rendant le nombre total de 1 bits dans une unité de données (y compris le bit de parité) pair.
EXCLUSIVE OR function 			Cette expression permet d'indiquer une fonction logique étant vraie si l'une de ses entrées est vraie mais pas les deux. Il est donc vrai si ses entrées ne sont pas égales (c'est-à-dire si l'une d'elles est un 1 logique et l'autre est un 0 logique).
External reference 				Cette expression permet d'indiquer l'utilisation dans un programme d'un nom défini dans un autre programme.
F (flag) register 				Cette expression permet d'indiquer un registre d'état de processeur ou Processor status register. Voir le registre P.
File 							Ce mot permet d'indiquer une collection d'informations connexes étant traitée comme une unité à des fins d'entreposage ou de récupération.
Fill 							Ce mot permet d'indiquer un placement des valeurs dans des zones d'entreposage non utilisées auparavant, initialisation de la mémoire ou de l'entreposage.
Flag 							Ce mot permet d'indiquer un seul bit indiquant une condition dans l'ordinateur, souvent utilisé pour choisir entre des séquences d'instructions alternatives.
Flag 							Ce mot permet d'indiquer, dans un contexte logiciel, un drapeau étant activé (1) ou désactivé (0) et peut être utilisé pour choisir entre deux plans d'action alternatifs. La variable booléenne et le sémaphore sont d'autres termes ayant la même signification.
Flag register 					Cette expression permet d'indiquer un registre d'état de processeur ou Processor status register. Voir le registre P.
Free-running mode 				Cette expression permet d'indiquer un mode de fonctionnement pour une minuterie dans lequel il indique la fin d'un intervalle de temps puis en démarre un autre de même durée. Également appelé mode continu.
Function key 					Cette expression permet d'indiquer une touche amenant un système à exécuter une fonction (telle que l'effacement de l'écran d'un terminal vidéo) ou à exécuter une procédure.
Global 							Ce mot permet d'indiquer une variable universelle. Défini dans plus d'une section d'un programme informatique, plutôt que utilisé uniquement localement.
Handshake 						Ce mot permet d'indiquer un transfert désynchronisé dans lequel l'émetteur et le récepteur échangent des signaux prédéterminés pour établir la synchronisation et pour indiquer l'état du transfert de données. En règle générale, l'expéditeur indique que de nouvelles données sont disponibles et le destinataire lit les données et indique qu'il est prêt pour plus.
Hardware stack 					Cette expression permet d'indiquer une pile que l'ordinateur gère automatiquement lors de l'exécution des instructions l'utilisant.
Head 							Ce mot permet d'indiquer l'emplacement de l'élément le plus récemment entré dans la file d'attente.
Header 							Ce mot permet d'indiquer l'entête de la file d'attente.
Hexadecimal 					Ce mot permet d'indiquer un système numérique avec une base 16. Les chiffres sont les nombres décimaux jusqu'à 9, suivis des lettres A à F.
Hex code 						Cette expression permet d'indiquer un code objet.
High-level language 			Cette expression permet d'indiquer un langage de programmation visant à résoudre des problèmes, plutôt que d'être conçu pour une conversion pratique en instructions informatiques. Un compilateur ou un interpréteur convertira un programme écrit dans un langage de haut niveau dans une format que l'ordinateur peut exécuter. Les langages de programmation de haut niveau courants incluent BASIC, COBOL, FORTRAN et Pascal.
High-level language 			Cette expression permet d'indiquer un langage de programmation visant à résoudre des problèmes, plutôt que d'être conçu pour une conversion pratique en instructions informatiques. Un compilateur ou un interpréteur convertira un programme écrit dans un langage de haut niveau dans une format que l'ordinateur peut exécuter. Les langages de programmation de haut niveau courants incluent BASIC, COBOL, FORTRAN et Pascal.
Immediate addressing 			Cette expression permet d'indiquer un mode d'adressage dans lequel les données requises par une instruction font partie de l'instruction. Les données suivent immédiatement le code d'opération en mémoire.
Independent mode 				Cette expression permet d'indiquer un mode de fonctionnement dans lequel les signaux d'état et de commande associés à un port d'entrée/sortie parallèle peuvent être utilisés indépendamment des transferts de données via le port.
Index 							Ce mot permet d'indiquer un élément de données utilisé pour identifier un élément particulier d'un tableau ou d'une table.
Indexed addressing 				Cette expression permet d'indiquer un mode d'adressage dans lequel l'adresse est modifiée par le contenu d'un registre d'index pour déterminer l'adresse effective (l'adresse réelle utilisée).
Indexed indirect addressing 	Cette expression permet d'indiquer un mode d'adressage dans lequel l'adresse effective est déterminée par indexation à partir de l'adresse de base puis en utilisant l'adresse indexée indirectement. Ceci est également appelé préindexation, car l'indexation est effectuée avant l'indirection. Bien entendu, le tableau commençant à l'adresse de base donnée doit être constitué d'adresses pouvant être utilisées indirectement.
Index register 					Cette expression permet d'indiquer un registre pouvant être utilisé pour modifier les adresses mémoire.
Indirect addressing 			Cette expression permet d'indiquer un mode d'adressage dans lequel l'adresse effective est le contenu de l'adresse incluse dans l'instruction, plutôt que l'adresse elle-même.
Indirect indexed addressing 	Cette expression permet d'indiquer un mode d'adressage dans lequel l'adresse effective est déterminée en obtenant d'abord l'adresse de base indirectement puis en indexant à partir de cette adresse de base. Aussi connu sous le nom de post-indexation, puisque l'indexation est effectuée après l'indirection.
Indirect jump 					Cette expression permet d'indiquer une instruction de saut transférant le contrôle à l'adresse entreposée dans un registre ou un emplacement de mémoire, plutôt qu'à une adresse fixe.
Indirect jump 					Cette expression permet d'indiquer une instruction de saut transférant le contrôle à l'adresse entreposée dans un registre ou un emplacement de mémoire, plutôt qu'à une adresse fixe.
Input/output control block (IOCB) 	Cette expression permet d'indiquer un groupe d'emplacements d'entreposage contenant les informations requises pour contrôler le fonctionnement d'un périphérique d'entrée/sortie. Les informations incluent généralement les adresses des routines exécutant des opérations telles que le transfert d'une seule unité de données ou la détermination de l'état du périphérique.
Input/output control system (IOCS) 	Cette expression permet d'indiquer un ensemble de routines informatiques contrôlant les performances des opérations d'entrée/sortie.
Instruction 					Ce mot permet d'indiquer un groupe de bits définissant une opération informatique et fait partie de l'ensemble d'instructions.
Instruction cycle 				Cette expression permet d'indiquer une processus de récupération, de décodage et d'exécution d'une instruction.
Instruction execution time 		Cette expression permet d'indiquer le temps nécessaire pour récupérer, décoder et exécuter une instruction.
Instruction fetch 				Cette expression permet d'indiquer un processus d'adressage de la mémoire et de lecture d'une instruction dans le microprocesseur pour le décodage et l'exécution.
Instruction length 				Cette expression permet d'indiquer la quantité de mémoire nécessaire pour entreposer une instruction complète.
Instruction set 				Cette expression permet d'indiquer l'ensemble des instructions générales disponibles sur un ordinateur spécifié. L'ensemble d'entrées auquel le microprocesseur produira une réponse connue lorsqu'elles sont extraites, décodées et exécutées.
Interpolation 					Ce mot permet d'indiquer l'estimation des valeurs d'une fonction à des points entre ceux pour lesquels les valeurs sont déjà connues.
Interrupt 						Ce mot permet d'indiquer un signal suspendant temporairement la séquence normale des opérations de l'ordinateur et transfère le contrôle à une routine spéciale.
Interrupt-driven 				Cette expression permet d'indiquer une dépendance aux interruptions pour son fonctionnement, peut rester inactif jusqu'à ce qu'il reçoive une interruption.
Interrupt flag 					Cette expression permet d'indiquer un bit dans la section d'entrée/sortie étant défini lorsqu'un événement se produit et nécessite une intervention dans le microprocesseur. Les événements typiques incluent une transition active sur une ligne de contrôle et l'épuisement d'un décompte par une minuterie.
Interrupt mask 					Cette expression permet d'indiquer un bit déterminant si les interruptions seront reconnues. Un bit de masque ou de désactivation doit être effacé pour autoriser les interruptions, tandis qu'un bit d'activation doit être défini.
Interrupt request 				Cette expression permet d'indiquer un signal étant actif lorsqu'un périphérique demande un service, souvent utilisé pour provoquer une interruption du processeur. Voir aussi le drapeau d'interruption.
Interrupt service routine 		Cette expression permet d'indiquer un programme exécutant les actions requises pour répondre à une interruption.
Inverted borrow 				Cette expression permet d'indiquer un bit étant fixé à 0 si une soustraction produit un résultat négatif et à 1 si elle produit un positif ou un résultat. Une retenue inversé peut être utilisé comme une vraie retenue, sauf que le complément de sa valeur (c'est-à-dire 1 moins sa valeur) doit être utilisé dans l'extension à des nombres plus longs.
IOCB 							Cette abréviation, provenant de l'anglicisme Input/output control block, permet d'indiquer un bloc de contrôle d'entrée/sortie.
IOCS 							Cette abréviation, provenant de l'anglicisme Input/output control system, permet d'indiquer un système de contrôle d'entrée/sortie.
I/O device table 				Cette expression permet d'indiquer une table établissant la correspondance entre les périphériques logiques auxquels les programmes font référence et les périphériques physiques étant actuellement utilisés dans les transferts de données. Une table de périphériques d'entrée/sortie doit être placée en mémoire afin d'exécuter un programme faisant référence à des périphériques logiques sur un ordinateur avec un ensemble particulier de périphériques (physiques) actuel. La table des périphériques d'entrée/sortie peut, par exemple, contenir les adresses de départ des pilotes d'entrée/sortie gérant les différents périphériques.
I/O driver 						Cette expression permet d'indiquer un programme informatique transférant des données vers ou depuis un périphérique d'entrée/sortie, également appelé pilote ou utilitaire d'entrée/sortie. Le pilote doit exécuter les fonctions d'initialisation et gérer l'état et le contrôle, ainsi que transférer physiquement les données actuels.
Jump instruction 				Cette expression permet d'indiquer une instruction plaçant une nouvelle valeur dans le compteur de programme, s'écartant ainsi de l'incrémentation normale en une étape. Les instructions de saut peuvent être conditionnelles; autrement dit, la nouvelle valeur ne peut être placée dans le compteur de programme que si une condition est satisfaite.
Jump table 						Cette expression permet d'indiquer une table composée des adresses de départ des routines exécutables, utilisée pour transférer le contrôle à l'une d'entre elles.
Label 							Ce mot permet d'indiquer un nom attaché à une instruction ou une instruction dans un programme identifiant l'emplacement en mémoire du code de langage machine ou de l'affectation produite à partir de cette instruction ou instruction.
Latch 							Ce mot permet d'indiquer un périphérique conservant son contenu jusqu'à ce que de nouvelles données y soient spécifiquement entrées.
Leading edge 					Cette expression permet d'indiquer le front marquant le début d'une impulsion.
Least significant bit 			Cette expression permet d'indiquer le bit le plus à droite d'un groupe de bits, c'est-à-dire un bit d'octet ou un mot de 16 bits.
Library program 				Cette expression permet d'indiquer un programme faisant partie d'un ensemble de programmes et étant écrit et documenté selon un format standard.
LIFO (last-in, first-out) memory 	Cette expression permet d'indiquer une mémoire étant organisée en fonction de l'ordre dans lequel les éléments sont saisis et à partir de laquelle les éléments ne peuvent être récupérés que dans l'ordre opposé à celui dans lequel ils ont été saisis. Voir aussi Pile ou Stack.
Linearization 					Ce mot permet d'indiquer l'approximation mathématique d'une fonction par une ligne droite entre deux points auxquels ses valeurs sont connues.
Linked list 					Cette expression permet d'indiquer une liste dans laquelle chaque élément contient un pointeur (ou un lien) vers l'élément suivant. Aussi appelé chaîne ou liste chaînée.
List 							Ce mot permet d'indiquer un ensemble d'éléments ordonné.
Logical device 					Cette expression permet d'indiquer le périphérique d'entrée ou de sortie auquel un programme se réfère. Le périphérique actuel ou physique est déterminé en recherchant le périphérique logique dans une table de périphériques d'entrée/sortie - une table contenant les adresses d'entrée/sortie actuels (ou les adresses de départ des pilotes d'entrée/sortie) correspondant aux numéros de périphériques logiques.
Logical shift 					Cette expression permet d'indiquer une opération de décalage déplaçant les zéros à la fin lorsque les données d'origine sont décalées.
Longitudinal parity 			Cette expression permet d'indiquer la somme logique incluse dans un bloc de données pour se prémunir contre les erreurs d'enregistrement ou de transmission. Également appelé parité longitudinale ou contrôle de redondance longitudinale (LRC).
Logical sum 					Cette expression permet d'indiquer une somme binaire sans report entre les positions de bit. Voir aussi Checksum ou EXCLUSIVE OR function.
Longitudinal redundancy check (LRC) 	Cette expression permet d'indiquer la somme logique incluse dans un bloc de données pour se prémunir contre les erreurs d'enregistrement ou de transmission. Également appelé parité longitudinale ou contrôle de redondance longitudinale (LRC).
Lookup table 					Cette expression permet d'indiquer un tableau de données organisé de sorte que la réponse à un problème peut être déterminée simplement en sélectionnant l'entrée correcte (sans aucun calcul).
Low-level language 				Cette expression permet d'indiquer un langage informatique dans lequel chaque instruction est convertie directement en une seule instruction en langage machine.
Machine language 				Cette expression permet d'indiquer un langage de programmation que l'ordinateur peut exécuter directement sans conversion autre que des conversions numériques.
Maintenance (of programs) 		Cette expression permet d'indiquer un mettre à jour et corriger les programmes informatiques en cours d'utilisation.
Majority logic 					Cette expression permet d'indiquer une fonction de logique combinatoire étant vraie lorsque plus de la moitié des entrées sont vraies.
Manual mode 					Cette expression permet d'indiquer un mode de fonctionnement dans lequel la puce ne produit des signaux de commande que lorsqu'elle y est spécifiquement ordonnée par un programme.
Mark 							Ce mot permet d'indiquer l'état 1 sur une ligne de communication de données série.
Mask 							Ce mot permet d'indiquer un modèle de bits isolant un ou plusieurs bits d'un groupe de bits.
Maskable interrupt 				Cette expression permet d'indiquer une interruption que le système peut désactiver.
Memory capacity 				Cette expression permet d'indiquer le nombre total d'adresses mémoire différentes (généralement spécifiées en octets) pouvant être associées à un ordinateur particulier.
Microcomputer 					Ce mot permet d'indiquer un ordinateur ayant un microprocesseur comme unité centrale de traitement.
Microprocessor 					Ce mot permet d'indiquer une unité centrale complète pour un ordinateur construit à partir d'un ou de quelques circuits intégrés.
Mnemonic 						Ce mot permet d'indiquer une mémoire mnémonique, un nom suggérant la signification actuel ou le but de l'objet auquel il se réfère.
